kind,spec,rmse,std,ci_lo,ci_hi,tost_p,equivalent
linear_W,KNN k=5 (paper),87.09101834077512,4.022903552237387,,,,
linear_W,inverse-distance,86.37929467128768,3.7805557095357956,,,,
linear_W,training-correlation,85.66873427018663,3.5985686805623485,,,,
TOST,adaptive-static,0.010214438437444073,,-0.0023636847280521065,0.026424850396195125,0.0,True
TOST,learned-static,0.06958236399387374,,-0.040706333838346605,0.2781262301422998,0.0,True
TOST,adaptive-learned,-0.05936792555642967,,-0.2517777140936154,0.040992591392239264,0.0,True
gate_enso,r_alpha_nino,0.7897195900633488,,0.6916829269532603,0.9201237535243819,,
