reference,rmse,mae,model,ss_clim,ss_pers
climatology,79.90406702532701,59.29128787705616,,,
persistence,101.08863313753439,76.07078287350971,,,
,87.09101834077512,66.35721351351438,GSTAR(1;1),-0.08994474978564093,0.1384687314716686
,86.82141862036397,66.1803008863113,GSTARX(1;1),-0.08657070725629512,0.14113569522459968
,80.34237345409113,60.63099969081886,LSTM-GSTARX(1;1),-0.005485408253689927,0.20522841233017064
,74.0298176084857,56.43929189526523,LSTM-GSTARX(12;0)+F*,0.0735162756481389,0.26767416562289736
,71.36832279171496,54.34197717136222,LSTM-GSTARX(12;1),0.10682490330443994,0.29400249487382
